date,hour,parking_lot,entries,exits,occupancy_forecast
2022-06-23,8,P023,0,8,32
2022-06-23,9,P023,0,6,26
2022-06-23,10,P023,0,6,20
2022-06-23,11,P023,0,3,17
2022-06-23,12,P023,0,1,16
2022-06-23,13,P023,0,0,16
2022-06-23,14,P023,0,3,13
2022-06-23,15,P023,2,0,15
2022-06-23,16,P023,5,0,20
2022-06-23,17,P023,12,0,32
2022-06-23,18,P023,8,0,40
2022-06-23,19,P023,4,0,44
2022-06-23,20,P023,8,0,52
2022-06-23,21,P023,0,3,49
2022-06-23,22,P023,0,0,49
2022-06-23,23,P023,2,0,51
2022-06-24,0,P023,0,0,51
2022-06-24,1,P023,1,0,52
2022-06-24,2,P023,1,0,53
2022-06-24,3,P023,1,0,54
2022-06-24,4,P023,0,0,54
2022-06-24,5,P023,0,1,53
2022-06-24,6,P023,0,2,51
2022-06-24,7,P023,0,5,46
2022-06-24,8,P023,0,8,38
2022-06-24,9,P023,0,1,37
2022-06-24,10,P023,0,8,29
2022-06-24,11,P023,0,1,28
2022-06-24,12,P023,2,0,30
2022-06-24,13,P023,4,0,34
2022-06-24,14,P023,0,4,30
2022-06-24,15,P023,1,0,31
2022-06-24,16,P023,6,0,37
2022-06-24,17,P023,6,0,43
2022-06-24,18,P023,0,0,43
2022-06-24,19,P023,0,0,43
2022-06-24,20,P023,3,0,46
2022-06-24,21,P023,6,0,52
2022-06-24,22,P023,0,1,51
2022-06-24,23,P023,1,0,52
2022-06-25,0,P023,0,1,51
2022-06-25,1,P023,1,0,52
2022-06-25,2,P023,0,0,52
2022-06-25,3,P023,0,0,52
2022-06-25,4,P023,0,0,52
2022-06-25,5,P023,0,0,52
2022-06-25,6,P023,0,0,52
2022-06-25,7,P023,0,6,46
2022-06-25,8,P023,0,5,41
2022-06-25,9,P023,0,8,33
2022-06-25,10,P023,0,5,28
2022-06-25,11,P023,0,7,21
2022-06-25,12,P023,1,0,22
2022-06-25,13,P023,0,0,22
2022-06-25,14,P023,0,1,21
2022-06-25,15,P023,0,3,18
2022-06-25,16,P023,0,9,9
2022-06-25,17,P023,0,8,1
2022-06-25,18,P023,8,0,9
2022-06-25,19,P023,0,8,1
2022-06-25,20,P023,0,1,0
2022-06-25,21,P023,2,0,2
2022-06-25,22,P023,0,0,2
2022-06-25,23,P023,8,0,10
2022-06-26,0,P023,3,0,13
2022-06-26,1,P023,33,0,46
2022-06-26,2,P023,4,0,50
2022-06-26,3,P023,5,0,55
2022-06-26,4,P023,0,1,54
2022-06-26,5,P023,0,0,54
2022-06-26,6,P023,0,0,54
2022-06-26,7,P023,0,5,49
2022-06-26,8,P023,0,1,48
2022-06-26,9,P023,0,0,48
2022-06-26,10,P023,0,0,48
2022-06-26,11,P023,7,0,55
2022-06-26,12,P023,0,6,49
2022-06-26,13,P023,0,4,45
2022-06-26,14,P023,0,7,38
2022-06-26,15,P023,0,15,23
2022-06-26,16,P023,0,11,12
2022-06-26,17,P023,0,5,7
2022-06-26,18,P023,0,0,7
2022-06-26,19,P023,0,0,7
2022-06-26,20,P023,0,1,6
2022-06-26,21,P023,5,0,11
2022-06-26,22,P023,3,0,14
2022-06-26,23,P023,6,0,20
2022-06-27,0,P023,23,0,43
2022-06-27,1,P023,13,0,56
2022-06-27,2,P023,3,0,59
2022-06-27,3,P023,2,0,61
2022-06-27,4,P023,0,0,61
2022-06-27,5,P023,0,0,61
2022-06-27,6,P023,0,0,61
2022-06-27,7,P023,0,1,60
2022-06-27,8,P023,0,8,52
2022-06-27,9,P023,0,29,23
2022-06-27,10,P023,1,0,24
2022-06-27,11,P023,0,1,23
2022-06-27,12,P023,2,0,25
2022-06-27,13,P023,5,0,30
2022-06-27,14,P023,0,4,26
2022-06-27,15,P023,0,6,20
2022-06-27,16,P023,4,0,24
2022-06-27,17,P023,4,0,28
2022-06-27,18,P023,8,0,36
2022-06-27,19,P023,13,0,49
2022-06-27,20,P023,11,0,60
2022-06-27,21,P023,0,3,57
2022-06-27,22,P023,0,1,56
2022-06-27,23,P023,2,0,58
2022-06-28,0,P023,0,1,57
2022-06-28,1,P023,0,1,56
2022-06-28,2,P023,1,0,57
2022-06-28,3,P023,1,0,58
2022-06-28,4,P023,0,0,58
2022-06-28,5,P023,0,1,57
2022-06-28,6,P023,0,0,57
2022-06-28,7,P023,0,10,47
2022-06-28,8,P023,0,8,39
2022-06-28,9,P023,0,17,22
2022-06-28,10,P023,4,0,26
2022-06-28,11,P023,0,4,22
2022-06-28,12,P023,0,0,22
2022-06-28,13,P023,0,3,19
2022-06-28,14,P023,0,4,15
2022-06-28,15,P023,0,9,6
2022-06-28,16,P023,10,0,16
2022-06-28,17,P023,20,0,36
2022-06-28,18,P023,10,0,46
2022-06-28,19,P023,8,0,54
2022-06-28,20,P023,1,0,55
2022-06-28,21,P023,2,0,57
2022-06-28,22,P023,3,0,60
2022-06-28,23,P023,0,0,60
2022-06-29,0,P023,0,0,60
2022-06-29,1,P023,0,0,60
2022-06-29,2,P023,0,1,59
2022-06-29,3,P023,0,0,59
2022-06-29,4,P023,0,0,59
2022-06-29,5,P023,1,0,60
2022-06-29,6,P023,0,2,58
2022-06-29,7,P023,0,8,50
2022-06-29,8,P023,0,9,41
2022-06-29,9,P023,0,15,26
2022-06-29,10,P023,0,5,21
2022-06-29,11,P023,0,5,16
2022-06-29,12,P023,1,0,17
2022-06-29,13,P023,4,0,21
2022-06-29,14,P023,0,4,17
2022-06-29,15,P023,5,0,22
2022-06-29,16,P023,1,0,23
2022-06-29,17,P023,15,0,38
2022-06-29,18,P023,4,0,42
2022-06-29,19,P023,6,0,48
2022-06-29,20,P023,6,0,54
2022-06-29,21,P023,0,2,52
2022-06-29,22,P023,1,0,53
2022-06-29,23,P023,1,0,54
2022-06-30,0,P023,0,0,54
2022-06-30,1,P023,0,0,54
2022-06-30,2,P023,0,0,54
2022-06-30,3,P023,1,0,55
2022-06-30,4,P023,0,0,55
2022-06-30,5,P023,0,1,54
2022-06-30,6,P023,0,0,54
2022-06-30,7,P023,0,7,47
2022-06-30,8,P023,0,13,34
2022-06-30,9,P023,0,7,27
2022-06-30,10,P023,0,2,25
2022-06-30,11,P023,0,6,19
2022-06-30,12,P023,9,0,28
2022-06-30,13,P023,3,0,31
2022-06-30,14,P023,0,4,27
2022-06-30,15,P023,0,1,26
2022-06-30,16,P023,4,0,30
2022-06-30,17,P023,8,0,38
2022-06-30,18,P023,10,0,48
2022-06-30,19,P023,5,0,53
2022-06-30,20,P023,2,0,55
2022-06-30,21,P023,0,1,54
2022-06-30,22,P023,0,0,54
2022-06-30,23,P023,0,0,54
