local,day,latitude,longitude,score
Avenida da Républica,2022-10-01,38.73593143,-9.145660419,7
Avenida da Républica,2022-10-02,38.73593143,-9.145660419,6
Avenida da Républica,2022-10-03,38.73593143,-9.145660419,7
Avenida da Républica,2022-10-04,38.73593143,-9.145660419,6
Avenida da Républica,2022-10-05,38.73593143,-9.145660419,6
Avenida da Républica,2022-10-06,38.73593143,-9.145660419,7
Avenida da Républica,2022-10-07,38.73593143,-9.145660419,7
Avenida da Républica,2022-10-08,38.73593143,-9.145660419,6
Avenida da Républica,2022-10-09,38.73593143,-9.145660419,6
Avenida da Républica,2022-10-10,38.73593143,-9.145660419,7
Avenida da Républica,2022-10-11,38.73593143,-9.145660419,7
Avenida da Républica,2022-10-12,38.73593143,-9.145660419,8
Avenida da Républica,2022-10-13,38.73593143,-9.145660419,7
Avenida da Républica,2022-10-14,38.73593143,-9.145660419,8
Avenida da Républica,2022-10-15,38.73593143,-9.145660419,7
Avenida da Républica,2022-10-16,38.73593143,-9.145660419,5
Avenida da Républica,2022-10-17,38.73593143,-9.145660419,8
Avenida da Républica,2022-10-18,38.73593143,-9.145660419,8
Avenida da Républica,2022-10-22,38.73593143,-9.145660419,7
Avenida da Républica,2022-10-23,38.73593143,-9.145660419,6
Avenida da Républica,2022-10-24,38.73593143,-9.145660419,8
Avenida da Républica,2022-10-25,38.73593143,-9.145660419,8
Avenida da Républica,2022-10-26,38.73593143,-9.145660419,8
Avenida da Républica,2022-10-27,38.73593143,-9.145660419,6
Avenida da Républica,2022-10-28,38.73593143,-9.145660419,7
Avenida da Républica,2022-10-29,38.73593143,-9.145660419,6
Avenida da Républica,2022-10-30,38.73593143,-9.145660419,6
Avenida da Républica,2022-10-31,38.73593143,-9.145660419,8
Avenida da Républica,2022-11-01,38.73593143,-9.145660419,6
Avenida da Républica,2022-11-02,38.73593143,-9.145660419,8
Avenida da Républica,2022-11-03,38.73593143,-9.145660419,4
Avenida da Républica,2022-11-04,38.73593143,-9.145660419,8
Avenida da Républica,2022-11-05,38.73593143,-9.145660419,7
Avenida da Républica,2022-11-06,38.73593143,-9.145660419,6
Avenida da Républica,2022-11-07,38.73593143,-9.145660419,8
Avenida da Républica,2022-11-08,38.73593143,-9.145660419,5
Avenida da Républica,2022-11-09,38.73593143,-9.145660419,7
Avenida da Républica,2022-11-10,38.73593143,-9.145660419,7
Avenida da Républica,2022-11-11,38.73593143,-9.145660419,7
Avenida da Républica,2022-11-12,38.73593143,-9.145660419,6
Avenida da Républica,2022-11-13,38.73593143,-9.145660419,5
Avenida da Républica,2022-11-14,38.73593143,-9.145660419,7
Avenida da Républica,2022-11-16,38.73593143,-9.145660419,4
Avenida da Républica,2022-11-17,38.73593143,-9.145660419,7
Avenida da Républica,2022-11-18,38.73593143,-9.145660419,7
Avenida da Républica,2022-11-19,38.73593143,-9.145660419,7
Avenida da Républica,2022-11-20,38.73593143,-9.145660419,5
Avenida da Républica,2022-11-21,38.73593143,-9.145660419,7
Avenida da Républica,2022-11-22,38.73593143,-9.145660419,1
Avenida da Républica,2022-11-23,38.73593143,-9.145660419,7
Avenida da Républica,2022-11-24,38.73593143,-9.145660419,7
