datetime,Classic_Stat_occ,Classic_Stat_price,Classic_Chronos_occ,Classic_Chronos_price,MCTS_Stat_occ,MCTS_Stat_price,MCTS_Chronos_occ,MCTS_Chronos_price,Forecast_Chronos,Forecast_Stat
2022-06-08 04:25:00,1.6329524070703128,1.8478679262876112,123.23469514804025,2.3358579672023265,2.564174037522374,1.75,180.0,1.7000000000000002,169.1254005432129,1.6915322048350743
2022-06-08 04:30:00,1.7114524481697964,1.8478679262876112,118.04267823667332,2.3358579672023265,2.830911435288406,1.75,180.0,1.7000000000000002,169.1254005432129,1.773680172992656
2022-06-08 04:35:00,1.9004771829354987,1.8478679262876112,127.36993183763944,2.3358579672023265,1.7895406211582117,1.75,180.0,1.7000000000000002,169.1254005432129,1.7949378107851763
2022-06-08 04:40:00,1.7983582329282901,1.8478679262876112,119.91183244144948,2.325156866716496,2.3323793788235005,1.75,180.0,1.7000000000000002,169.1254005432129,1.7873691190366352
2022-06-08 04:45:00,1.8817080328682712,1.8478679262876112,122.16723546142788,2.325156866716496,2.265854117719702,1.75,180.0,1.7000000000000002,169.1254005432129,1.8063177162883277
2022-06-08 04:50:00,1.9804731378634044,1.8478679262876112,127.01891359073531,2.325156866716496,2.5639117104909075,1.75,180.0,1.7000000000000002,169.1254005432129,1.8233908519020225
2022-06-08 04:55:00,2.084316524653658,1.8478679262876112,121.9407875965071,2.325156866716496,2.447816559471654,1.75,180.0,1.7000000000000002,169.1254005432129,1.8050756673558241
2022-06-08 05:00:00,3.0018005560893988,1.8478679262876112,117.02295499804093,2.3072641652942396,2.8412052547451583,1.75,180.0,1.7000000000000002,169.1254005432129,1.78280962938867
2022-06-08 05:05:00,3.051696242863863,1.8478679262876112,122.20987738004531,2.3072641652942396,2.465032195994034,1.75,180.0,1.7000000000000002,169.0466594696045,1.7892187528275476
2022-06-08 05:10:00,1.8020437924364705,1.8478679262876112,143.66047833311694,2.3072641652942396,1.7932206928696202,1.75,180.0,1.7000000000000002,168.9679183959961,1.7425869275911543
2022-06-08 05:15:00,1.809859106004945,1.8478679262876112,143.7934623795762,2.3072641652942396,1.8069349180710697,1.75,180.0,1.7000000000000002,168.8891773223877,1.7366573107967285
2022-06-08 05:20:00,1.766530784702802,1.8478679262876112,121.16810963292431,2.299459076601508,1.6960275853462903,1.75,180.0,1.7000000000000002,168.8104362487793,1.6998919316504586
2022-06-08 05:25:00,1.5787018205705012,1.8478679262876112,139.62563834504942,2.299459076601508,1.700522651094775,1.75,180.0,1.7000000000000002,168.7316951751709,1.6270895398878769
2022-06-08 05:30:00,1.7302235625136597,1.8478679262876112,124.97321786941673,2.299459076601508,1.6641288038812045,1.75,180.0,1.7000000000000002,168.6529541015625,1.6154924428239457
2022-06-08 05:35:00,1.6782552450867223,1.8478679262876112,127.90458968077102,2.299459076601508,1.6915058123634283,1.75,180.0,1.7000000000000002,168.5742130279541,1.6362453872202565
2022-06-08 05:40:00,1.667898405625613,1.8478679262876112,145.58272963854677,2.2772108839906635,1.7940577721411284,1.75,180.0,1.7000000000000002,168.4954719543457,1.6903007622382769
2022-06-08 05:45:00,1.6258704950501597,1.8478679262876112,143.19862135916793,2.2772108839906635,2.4665916508070183,1.75,180.0,1.7000000000000002,168.4167308807373,1.637725765470956
2022-06-08 05:50:00,1.7088820385271934,1.8478679262876112,151.9978142033319,2.2772108839906635,2.606407703930456,1.75,180.0,1.7000000000000002,168.3379898071289,1.6580133978423741
2022-06-08 05:55:00,1.6328798717336668,1.8478679262876112,156.2023447994134,2.2772108839906635,1.6289652489420794,1.75,180.0,1.7000000000000002,168.2592487335205,1.707872425412725
2022-06-08 06:00:00,1.5789759992598495,1.8478679262876112,145.78880111235802,2.2709773952510046,2.4069136172021772,1.75,180.0,1.7000000000000002,168.1805076599121,1.6836162518099567
2022-06-08 06:05:00,1.8022099704640213,1.8478679262876112,144.6322644670164,2.2709773952510046,2.567529175980999,1.75,180.0,1.7000000000000002,166.05463695526123,1.6322684796857314
2022-06-08 06:10:00,1.7801310764668958,1.8478679262876112,146.28597236941886,2.2709773952510046,2.664038624198041,1.75,180.0,1.7000000000000002,163.92876625061035,1.6119960823290138
2022-06-08 06:15:00,1.8331417790678752,1.8478679262876112,149.07262462172142,2.2709773952510046,3.1016959855763284,1.75,174.16309389715087,1.7000000000000002,161.80289554595947,1.6215257893598423
2022-06-08 06:20:00,1.818828331222216,1.8478679262876112,127.40317298455422,2.277008410404941,3.296626170473936,1.75,180.0,1.7000000000000002,159.6770248413086,1.7521916188319921
2022-06-08 06:25:00,1.8216977372781011,1.8478679262876112,116.60165872310645,2.277008410404941,3.0995182576108213,1.75,180.0,1.7000000000000002,157.55115413665771,1.7859319642580036
2022-06-08 06:30:00,2.022946081277389,1.8478679262876112,100.8362285324604,2.277008410404941,2.0958119899932126,1.75,180.0,1.7000000000000002,155.42528343200684,1.7474952614315058
2022-06-08 06:35:00,1.8093432401443879,1.8478679262876112,119.90461553751229,2.277008410404941,2.4393259905805555,1.75,180.0,1.7000000000000002,153.29941272735596,1.7649429457297399
2022-06-08 06:40:00,1.7593904841735386,1.8478679262876112,123.0260766478846,2.2802744935958676,1.8012905267911996,1.75,143.2034902599657,1.7000000000000002,151.17354202270508,1.7073879485575298
2022-06-08 06:45:00,2.010705715437605,1.8478679262876112,130.61540908333475,2.2802744935958676,1.949299556291078,1.75,141.24620209673753,1.7000000000000002,149.0476713180542,1.7215297602815016
2022-06-08 06:50:00,1.8172823851578708,1.8478679262876112,122.2742399187095,2.2802744935958676,2.156631536584106,1.75,180.0,1.7000000000000002,146.92180061340332,1.6587329695987616
