date,hour,y_true,y_pred,abs_err,sq_err
2022-06-16,19,49.0,45.33108108108108,3.6689189189189193,13.46096603360117
2022-06-16,20,50.0,48.486486486486484,1.5135135135135158,2.2907231555880276
2022-06-16,21,51.0,50.08783783783784,0.9121621621621614,0.8320398100803492
2022-06-16,22,56.0,51.0,5.0,25.0
2022-06-16,23,58.0,51.91891891891892,6.081081081081081,36.97954711468225
2022-06-17,0,59.0,52.74324324324324,6.256756756756758,39.14700511322135
2022-06-17,1,59.0,53.229729729729726,5.770270270270274,33.29601899196498
2022-06-17,2,59.0,53.391891891891895,5.608108108108105,31.45087655222787
2022-06-17,3,59.0,53.432432432432435,5.567567567567565,30.99780861943021
2022-06-17,4,58.0,53.36486486486486,4.635135135135137,21.48447772096422
2022-06-17,5,59.0,53.28378378378378,5.716216216216218,32.67512783053325
2022-06-17,6,56.0,52.472972972972975,3.5270270270270245,12.43991964937909
2022-06-17,7,50.0,48.96621621621622,1.0337837837837824,1.0687089116143142
2022-06-17,8,40.0,42.601351351351354,2.6013513513513544,6.767028853177518
2022-06-17,9,34.0,35.472972972972975,1.4729729729729755,2.169649379108846
2022-06-17,10,28.0,30.52027027027027,2.52027027027027,6.351762235208181
2022-06-17,11,30.0,29.14189189189189,0.8581081081081088,0.7363495252008777
2022-06-17,12,29.0,29.695945945945947,0.6959459459459474,0.4843407596785995
2022-06-17,13,29.0,29.945945945945947,0.9459459459459474,0.8948137326515733
2022-06-17,14,29.0,27.37837837837838,1.621621621621621,2.629656683710736
2022-06-17,15,31.0,27.43918918918919,3.5608108108108105,12.679373630387142
2022-06-17,16,35.0,30.31756756756757,4.682432432432432,21.925173484295097
2022-06-17,17,42.0,35.608108108108105,6.391891891891895,40.85628195763334
2022-06-17,18,50.0,40.86486486486486,9.135135135135137,83.45069393718046
2022-06-17,19,54.0,45.33108108108108,8.66891891891892,75.15015522279036
2022-06-17,20,55.0,48.486486486486484,6.513513513513516,42.425858290723184
2022-06-17,21,54.0,50.08783783783784,3.9121621621621614,15.305012783053318
2022-06-17,22,54.0,51.0,3.0,9.0
2022-06-17,23,55.0,51.91891891891892,3.0810810810810807,9.49306062819576
2022-06-18,0,56.0,52.74324324324324,3.256756756756758,10.606464572680796
2022-06-18,1,57.0,53.229729729729726,3.7702702702702737,14.214937910883883
2022-06-18,2,57.0,53.391891891891895,3.6081081081081052,13.01844411979545
2022-06-18,3,57.0,53.432432432432435,3.567567567567565,12.727538349159952
2022-06-18,4,56.0,53.36486486486486,2.635135135135137,6.943937180423676
2022-06-18,5,56.0,53.28378378378378,2.7162162162162176,7.3778305332359455
2022-06-18,6,56.0,52.472972972972975,3.5270270270270245,12.43991964937909
2022-06-18,7,53.0,48.96621621621622,4.033783783783782,16.27141161431701
2022-06-18,8,44.0,42.601351351351354,1.3986486486486456,1.9562180423666824
2022-06-18,9,39.0,35.472972972972975,3.5270270270270245,12.43991964937909
2022-06-18,10,33.0,30.52027027027027,2.47972972972973,6.149059532505479
2022-06-18,11,33.0,29.14189189189189,3.858108108108109,14.88499817384953
2022-06-18,12,36.0,29.695945945945947,6.304054054054053,39.74109751643534
2022-06-18,13,37.0,29.945945945945947,7.054054054054053,49.75967859751641
2022-06-18,14,29.0,27.37837837837838,1.621621621621621,2.629656683710736
2022-06-18,15,20.0,27.43918918918919,7.4391891891891895,55.34153579254931
2022-06-18,16,11.0,30.31756756756757,19.31756756756757,373.1684167275384
2022-06-18,17,9.0,35.608108108108105,26.608108108108105,707.9914170927683
2022-06-18,18,11.0,40.86486486486486,29.864864864864863,891.9101533966398
2022-06-18,19,17.0,45.33108108108108,28.33108108108108,802.6501552227903
2022-06-18,20,19.0,48.486486486486484,29.486486486486484,869.4528853177501
2022-06-18,21,20.0,50.08783783783784,30.08783783783784,905.2779857560264
2022-06-18,22,24.0,51.0,27.0,729.0
2022-06-18,23,28.0,51.91891891891892,23.91891891891892,572.1146822498174
2022-06-19,0,44.0,52.74324324324324,8.743243243243242,76.4443024105186
2022-06-19,1,50.0,53.229729729729726,3.2297297297297263,10.43115412710005
2022-06-19,2,50.0,53.391891891891895,3.3918918918918948,11.504930606281977
2022-06-19,3,50.0,53.432432432432435,3.432432432432435,11.781592403214043
2022-06-19,4,50.0,53.36486486486486,3.364864864864863,11.322315558802034
